[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (933) open OpenCV | GStreamer warning: Cannot query video position: status=0, value=-1, duration=-1
[ WARN:0] global /home/nvidia/host/build_opencv/nv_opencv/modules/videoio/src/cap_gstreamer.cpp (1184) setProperty OpenCV | GStreamer warning: GStreamer: unhandled property
Gtk-Message: 21:22:14.165: Failed to load module "canberra-gtk-module"
vision_progress frame=3600 capture_ms=12.223 gpu_ms=10.494 post_ms=0.583 total_ms=32.009 fps_avg=33.135 det=0
vision_progress frame=3630 capture_ms=12.346 gpu_ms=10.400 post_ms=0.582 total_ms=32.236 fps_avg=32.893 det=0
vision_progress frame=3660 capture_ms=15.789 gpu_ms=10.125 post_ms=0.640 total_ms=35.234 fps_avg=32.934 det=0
vision_progress frame=3690 capture_ms=16.193 gpu_ms=10.077 post_ms=0.598 total_ms=35.579 fps_avg=32.829 det=0
vision_progress frame=3720 capture_ms=13.314 gpu_ms=10.231 post_ms=0.624 total_ms=32.868 fps_avg=33.043 det=0
vision_progress frame=3750 capture_ms=12.104 gpu_ms=10.240 post_ms=0.578 total_ms=31.566 fps_avg=32.877 det=0
vision_progress frame=3780 capture_ms=15.873 gpu_ms=10.144 post_ms=0.577 total_ms=35.568 fps_avg=32.896 det=0
vision_progress frame=3810 capture_ms=12.391 gpu_ms=10.143 post_ms=0.601 total_ms=31.937 fps_avg=33.289 det=0
vision_progress frame=3840 capture_ms=12.381 gpu_ms=10.073 post_ms=0.596 total_ms=31.759 fps_avg=32.879 det=0
vision_progress frame=3870 capture_ms=13.434 gpu_ms=10.177 post_ms=0.632 total_ms=32.911 fps_avg=32.938 det=0
vision_progress frame=3900 capture_ms=16.127 gpu_ms=10.141 post_ms=0.583 total_ms=35.553 fps_avg=32.936 det=0
vision_progress frame=3930 capture_ms=10.960 gpu_ms=10.221 post_ms=0.601 total_ms=30.449 fps_avg=33.097 det=0
vision_progress frame=3960 capture_ms=11.830 gpu_ms=10.139 post_ms=0.580 total_ms=31.272 fps_avg=32.892 det=0
vision_progress frame=3990 capture_ms=16.059 gpu_ms=10.156 post_ms=0.582 total_ms=35.497 fps_avg=32.996 det=0
vision_progress frame=4020 capture_ms=15.934 gpu_ms=10.105 post_ms=0.637 total_ms=35.374 fps_avg=32.850 det=0
vision_progress frame=4050 capture_ms=11.483 gpu_ms=10.200 post_ms=0.660 total_ms=31.003 fps_avg=33.189 det=0
vision_progress frame=4080 capture_ms=12.188 gpu_ms=10.240 post_ms=0.579 total_ms=31.705 fps_avg=32.826 det=0
vision_progress frame=4110 capture_ms=15.940 gpu_ms=10.095 post_ms=0.625 total_ms=35.561 fps_avg=32.938 det=0
vision_progress frame=4140 capture_ms=12.157 gpu_ms=10.128 post_ms=0.591 total_ms=31.816 fps_avg=33.061 det=0
vision_progress frame=4170 capture_ms=12.241 gpu_ms=10.153 post_ms=0.588 total_ms=31.782 fps_avg=33.014 det=0
vision_progress frame=4200 capture_ms=16.184 gpu_ms=10.157 post_ms=0.590 total_ms=35.680 fps_avg=32.796 det=0
vision_progress frame=4230 capture_ms=13.228 gpu_ms=10.034 post_ms=0.596 total_ms=32.578 fps_avg=32.942 det=0
vision_progress frame=4260 capture_ms=12.256 gpu_ms=10.276 post_ms=0.585 total_ms=31.854 fps_avg=32.982 det=0
vision_progress frame=4290 capture_ms=12.247 gpu_ms=10.210 post_ms=0.588 total_ms=31.963 fps_avg=32.790 det=0
vision_progress frame=4320 capture_ms=15.913 gpu_ms=10.188 post_ms=0.594 total_ms=35.455 fps_avg=33.074 det=0
vision_progress frame=4350 capture_ms=15.792 gpu_ms=10.398 post_ms=0.585 total_ms=35.919 fps_avg=32.886 det=0
vision_progress frame=4380 capture_ms=12.345 gpu_ms=10.378 post_ms=0.639 total_ms=32.537 fps_avg=33.152 det=0
vision_progress frame=4410 capture_ms=12.232 gpu_ms=10.212 post_ms=0.581 total_ms=31.741 fps_avg=32.851 det=0
vision_progress frame=4440 capture_ms=12.344 gpu_ms=10.417 post_ms=0.644 total_ms=32.397 fps_avg=32.968 det=0
vision_progress frame=4470 capture_ms=15.387 gpu_ms=10.148 post_ms=0.583 total_ms=34.913 fps_avg=32.936 det=0
vision_progress frame=4500 capture_ms=12.336 gpu_ms=10.147 post_ms=0.588 total_ms=31.903 fps_avg=33.265 det=0
vision_progress frame=4530 capture_ms=11.516 gpu_ms=10.407 post_ms=0.616 total_ms=31.445 fps_avg=32.782 det=0
vision_progress frame=4560 capture_ms=12.506 gpu_ms=10.222 post_ms=0.582 total_ms=32.041 fps_avg=33.004 det=0
vision_progress frame=4590 capture_ms=16.099 gpu_ms=10.348 post_ms=0.579 total_ms=35.704 fps_avg=32.860 det=0
vision_progress frame=4620 capture_ms=11.571 gpu_ms=10.436 post_ms=0.641 total_ms=31.817 fps_avg=33.200 det=0
vision_progress frame=4650 capture_ms=12.371 gpu_ms=10.416 post_ms=0.648 total_ms=32.352 fps_avg=32.936 det=0
vision_progress frame=4680 capture_ms=12.377 gpu_ms=10.132 post_ms=0.590 total_ms=31.797 fps_avg=33.053 det=0
vision_progress frame=4710 capture_ms=15.277 gpu_ms=10.127 post_ms=0.577 total_ms=34.689 fps_avg=32.837 det=0
vision_progress frame=4740 capture_ms=12.536 gpu_ms=10.258 post_ms=0.638 total_ms=32.093 fps_avg=32.984 det=0
vision_progress frame=4770 capture_ms=12.289 gpu_ms=10.249 post_ms=0.585 total_ms=31.811 fps_avg=33.012 det=0
vision_progress frame=4800 capture_ms=11.742 gpu_ms=10.132 post_ms=0.615 total_ms=31.477 fps_avg=32.846 det=0
vision_progress frame=4830 capture_ms=16.212 gpu_ms=10.136 post_ms=0.587 total_ms=35.631 fps_avg=33.063 det=0
vision_progress frame=4860 capture_ms=12.417 gpu_ms=10.128 post_ms=0.642 total_ms=31.877 fps_avg=32.979 det=0
vision_progress frame=4890 capture_ms=12.102 gpu_ms=10.271 post_ms=0.582 total_ms=31.680 fps_avg=32.954 det=0
vision_progress frame=4920 capture_ms=13.793 gpu_ms=10.125 post_ms=0.583 total_ms=33.321 fps_avg=32.806 det=0
vision_progress frame=4950 capture_ms=15.938 gpu_ms=10.104 post_ms=0.586 total_ms=35.338 fps_avg=33.060 det=0
vision_progress frame=4980 capture_ms=12.592 gpu_ms=10.198 post_ms=0.644 total_ms=32.088 fps_avg=32.918 det=0
vision_progress frame=5010 capture_ms=12.384 gpu_ms=10.142 post_ms=0.570 total_ms=31.806 fps_avg=32.976 det=0
vision_progress frame=5040 capture_ms=12.336 gpu_ms=10.297 post_ms=0.644 total_ms=31.941 fps_avg=32.786 det=0
